0.068716,0.028179,0.021122
0.393340,0.213222,0.197320
0.061165,0.159600,0.361101
0.051783,0.101955,0.035340
0.182413,0.195894,0.492680
0.131937,0.542792,0.549639
0.433079,0.083320,0.006919
0.014187,0.055080,0.363446
0.426691,0.043928,0.087242
0.044359,0.016343,0.124857
0.303218,0.461152,0.060647
0.619727,0.311469,0.017003
0.001452,0.013323,0.172414
0.023014,0.195112,0.045197
0.287833,0.012174,0.014540
0.606157,0.469700,0.018487
0.409465,0.057894,0.337056
0.007193,0.266096,0.534379
0.422016,0.453878,0.488736
0.335176,0.377043,0.434463
0.226723,0.257994,0.313130
0.110547,0.126339,0.172824
0.031129,0.042909,0.059335
0.006788,0.008394,0.011327
